frmEditScript.frmEditScript	Edit Script	Editar Script
frmEditScript.chkLocal	Local Script (This Preset Only)	Script local (somente esta predefinição)
frmEditScript.lblName	Name	Nome
frmEditScript.cmdImport	Import	Importação
frmEditScript.cmdExport	Export	Exportação
frmEditScript.OK_Button	Save	Salvar
frmEditScript.Cancel_Button	Close	Fechar
frmKeyFinder.frmKeyFinder	Find Control	Encontre Controle
frmKeyFinder.lblMidi	Note: If you would like to use a MIDI controller, click here to to enable it first	Nota: Se você gostaria de usar um controlador MIDI, clique aqui para ativá-lo primeiro
frmKeyFinder.cmdCancel	Cancel	Cancelar
frmKeyFinder.lblMessage	Press a button on the keyboard or controller	Pressionar um botão no teclado ou o controlador
frmShortcutTemplates.frmShortcutTemplates	Shortcut Templates	Modelos de atalho
frmShortcutTemplates.lblDiagramType	Display as	Mostrar como
frmShortcutTemplates.cmdApply	Apply	Aplicar
frmShortcutTemplates.cmdClose	Close	Fechar
frmShortcutTemplates.cmdSaveGraphic	Save Graphic	Salvar Graphic
frmShortcutTemplates.cmdExport	Export	Exportação
frmShortcutTemplates.cmdImport	Import	Importação
frmNewPreset.frmNewPreset	New Preset	Nova predefinição
frmNewPreset.lblNew	Create a new blank preset with the following video format	Criar uma nova predefinição em branco com o seguinte formato de vídeo
frmNewPreset.cmdCancel	Cancel	Cancelar
frmCloseConfirm.frmCloseConfirm	vMix	vMix
frmCloseConfirm.lblCloseMessage	Are you sure you want to close vMix?	Tem certeza de que deseja fechar o vMix?
frmCloseConfirm.lblMessage	Do you wish to save changes to the current preset?	Deseja salvar as alterações na predefinição atual?
frmCloseConfirm.cmdOKNoClose	Save	Salvar
frmCloseConfirm.cmdDiscardNoClose	Discard changes	Descartar mudanças
frmCloseConfirm.cmdClose	Close	Fechar
frmCloseConfirm.cmdDiscard	Discard changes and Close	Descartar alterações e Fechar
frmCloseConfirm.cmdCancel	Cancel	Cancelar
frmCloseConfirm.cmdOK	Save and Close	Salvar e fechar
frmPackagePreset.frmPackagePreset	Save Preset Bundle	Salvar pacote predefinido
frmPackagePreset.lblName	This preset bundle will contain the following files. Check to make sure you have enough disk space before continuing.	Este pacote predefinido conterá os seguintes arquivos. Verifique se você tem espaço em disco suficiente antes de continuar.
frmPackagePreset.cmdCancel	Cancel	Cancelar
frmPackagePreset.cmdSave	Save	Salve 
UNDEFINED_ERROR	UNDEFINED_ERROR	UNDEFINED_ERROR
RECORDING_NOT_READY	Recording has not been configured	A gravação não foi configurado
EMPTY_FILENAME	Filename cannot be left blank	Nome do arquivo não pode ser deixado em branco
DIRECT3D_SYSTEM_COPY_NOT_SUPPORTED	Recording is not supported by the installed graphics hardware. {newline}Performance will be adversely affected	A gravação não é suportado pelo hardware gráfico instalado. Desempenho será prejudicado
DIRECT3D_HARDWARE_NOT_SUPPORTED	Graphics hardware is not supported. {newline}DirectX 9 compatible hardware required.	Hardware gráfico não é suportado. DirectX 9 compatível hardware necessários.
DIRECT3D_NOT_INSTALLED	Direct3D Not Found. Please install the latest version of DirectX 9.	Direct3D não encontrado. Por favor, instale a última versão do DirectX 9.
DIRECT3D_DEVICE_LOST	The Graphics Driver has reported an error. vMix will now reset to the last known good state.	O driver de gráficos relatou um erro. Vmix agora vai repor para o estado conhecido último bom.
CROSSBAR_NOT_FOUND	Crossbar device could not be found	Dispositivo trave não pôde ser encontrado
CAPTURE_NOT_FOUND	Capture device could not be found	Dispositivo de captura não pôde ser encontrado
WINDOWS_7_REQUIRED	Windows 7 or higher required.	Windows 7 ou mais alto exigido.
WINDOWS_10_REQUIRED	Windows 10 or higher required.	Windows 10 ou superior necessário.
POWERPOINT_LOAD_SLIDE_ERROR	Could not load Slide, please ensure PowerPoint is closed and try again.	Não foi possível carregar Slide, certifique-se de PowerPoint está fechado e tente novamente.
EXTERNAL_RENDERER_NOT_FOUND	External Renderer Not Found	Renderer externo não encontrado
AUDIO_DEVICE_NOT_FOUND	AUDIO_DEVICE_NOT_FOUND	AUDIO_DEVICE_NOT_FOUND
AUDIO_FORMAT_NOT_FOUND	AUDIO_FORMAT_NOT_FOUND	AUDIO_FORMAT_NOT_FOUND
EXPIRED	This Program has Expired, please visit http://www.vmix.com/ for an updated version.	Este programa expirou, por favor visite http://www.vmix.com/ para uma versão atualizada.
WIDTH_NOT_NUMBER	Width must be a number.	Largura deve ser um número.
HEIGHT_NOT_NUMBER	Height must be a number.	Altura deve ser um número.
BITRATE_NOT_NUMBER	BitRate must be a number.	BitRate deve ser um número.
FPS_NOT_NUMBER	FPS must be a number.	FPS deve ser um número.
PORT_NOT_NUMBER	Port must be a number.	Porta deve ser um número.
QUALITY_NOT_NUMBER	Quality must be a number.	Qualidade deve ser um número.
WMV_FORMAT_INVALID	WMV Format is not valid.	Formato WMV não é válido.
WMV_PORT_IN_USE	Streaming Port is currently in use.	Transmissão Porto está atualmente em uso.
DELAY_NOT_NUMBER	Delay must be a number.	Atraso deve ser um número.
CAPTURE_RESOLUTION_NOT_SUPPORTED	Capture Resolution is not supported by this device.	Resolução de captura não é suportado por este dispositivo.
CAPTURE_PIN_NOT_FOUND	Capture Pin could not be found.	Pin de captura não pôde ser encontrado.
CAPTURE_CONFIGURE_CROSSBAR	Could not Configure Crossbar.	Não foi possível configurar Crossbar.
CAPTURE_CONNECT_AUDIO	Could not Connect Audio.	Não foi possível conectar áudio.
CAPTURE_ANALOG_FORMAT	Could not set Analog Format.	Não foi possível definir o formato analógico.
CAPTURE_PIN_FORMAT	CAPTURE_PIN_FORMAT	CAPTURE_PIN_FORMAT
RENDER_PIN	Could not Render Output.	Não foi possível Render Output.
VMR9_INIT	Could not Configure VMR.	Não foi possível configurar VMR.
TRANSITION_DURATION_NOT_NUMBER	Duration is not a number or is invalid.	Duração não é um número ou é inválido.
STINGER_CUT_POINT_NOT_NUMBER	The Stinger Cut Point must be a number in milliseconds.	O ponto de corte Stinger deve ser um número em milissegundos.
STINGER_CUT_POINT_GREATER_DURATION	The Stinger Cut Point cannot be greater than the Duration.	O ponto de corte Stinger não pode ser maior do que a duração.
ASF_WRITER_NOT_FOUND	ASF Writer could not be found.	Escritor ASF não pôde ser encontrado.
WINDOWS_MEDIA_SERVICE_INTERFACE_NOT_FOUND	Windows Media Service Interface could not be found.	Windows Media Service Interface não pôde ser encontrado.
WINDOWS_MEDIA_PROFILE_MANAGER_NOT_FOUND	Windows Media Profile Manager could not be found.	Profile Manager do Windows Media não podia ser encontrado.
ASF_WRITER_CONFIG_NOT_FOUND	ASF Writer Configuration not found.	ASF Configuração Escritor não encontrado.
WINDOWS_MEDIA_PROFILE_SETTINGS_NOT_COMPATIBLE	Windows Media Profile Settings are not compatible.	Definições do perfil Windows Media não são compatíveis.
REGISTRATION_EXPIRED	The current Registration Key has expired.	A Chave de Registro atual expirou.
REGISTRATION_INVALID	The current Registration is invalid.	O registro atual é inválida.
REGISTRATION_DIFFERENTMACHINE	Hardware has changed. Activate your key at {newline} http://www.vmix.com/activate	Equipamento mudou. Ative sua chave na http://www.vmix.com/activate
REGISTRATION_CORRUPT	The current Registration is corrupt, please try registering again.	O registro atual é corrupto, por favor tente registrar-se novamente.
REGISTRATION_INVALIDDATE	The System Date is invalid.	A data do sistema é inválido.
REGISTRATION_RENEWFAILED	Unable to renew Registration Key, check your internet connection and try again.	Não foi possível renovar a chave de registro, verifique sua conexão com a Internet e tente novamente.
REGISTRATION_SUBSCRIPTIONEXPIRED	Subscription has expired, please check your account and try again.	A assinatura expirou, verifique sua conta e tente novamente.
INPUT_LIMIT_REACHED	The Input Limit in this Edition has been reached. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	O limite de entrada nesta edição foi atingido. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
CAPTURE_LIMIT_REACHED	The Capture Input Limit in this Edition has been reached. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	O limite de entrada de captura nesta edição foi atingido. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
RESOLUTION_LIMIT_EXCEEDED	The selected resolution is not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	A resolução selecionada não é suportado nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
AVI_RECORDING_NOT_SUPPORTED	AVI Recording is not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	AVI gravação não é suportado nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
WMV_RECORDING_NOT_SUPPORTED	WMV Recording and Streaming is not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	Gravação WMV e ao vivo não é suportado nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
OVERLAY_LIMIT_REACHED	Multiple Overlays are not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	Várias Sobreposições não são suportados nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
FEATURE_NOT_SUPPORTED	This feature is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	Esse recurso não está disponível nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
MPG_RECORDING_NOT_SUPPORTED	MPEG Recording is not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	MPEG gravação não é suportado nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
MULTICORDER_NOT_SUPPORTED	MultiCorder is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	MultiCorder não está disponível nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
INVALID_RECORDING_FILENAME_FORMAT	Invalid Recording Filename Format. Missing one or more required options or contains invalid characters.	Formato de arquivo inválido Gravação. Faltando uma ou mais opções necessárias ou contém caracteres inválidos.
MULTICORDER_SELECT_INPUT	Highlight an Input first.	Realce uma entrada primeiro.
LIST_NOT_AVAILABLE	The List Input is not available in this Edition of vMix.{newline}Upgrade vMix to enable this feature.{newline}http://www.vmix.com/upgrade	A entrada de lista não está disponível nesta edição do vMix. Atualize vMix para ativar esse recurso. http://www.vmix.com/upgrade
MULTICORDER_NOT_CONFIGURED	MultiCorder has not been configured.	MultiCorder não foi configurado.
REPLAY_NOT_SUPPORTED	Instant Replay is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	Repetição Instantânea não está disponível nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
SCRIPTING_NOT_SUPPORTED	Scripting is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	Scripting não está disponível nesta edição do vMix. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
PTZ_NOT_SUPPORTED	PTZ is not available in this Edition of vMix.{newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	PTZ não está disponível nesta edição do vMix. Atualizar vMix para permitir mais recursos. http://www.vmix.com/upgrade
INPUT_TYPE_NOT_SUPPORTED	The selected Input Type is not supported.	O tipo de entrada selecionado não é suportado.
INPUT_FORMAT_NOT_SUPPORTED	File Format Not Supported.	Formato de arquivo não suportado.
INPUT_LOAD_ERROR	Error Loading Input.	Entrada Loading Error.
INPUT_NOT_FOUND	Could not find input.	Não foi possível encontrar entrada.
DIRECT3D_SHADERS_NOT_SUPPORTED	vMix requires a Graphics Card that supports Pixel Shader 2.0 or higher.	Vmix exige uma placa gráfica que suporte Pixel Shader 2.0 ou superior.
DEVICE_NOT_READY	Device Not Ready	Dispositivo não está pronto
NET_FRAMEWORK_35_REQUIRED	.NET Framework 3.5 SP1 is required to run this software.	. NET Framework 3.5 SP1 é necessário para executar este software.
CAPTURE_DEVICE_IN_USE	Capture Device is still in use, close any open programs and try again.	Dispositivo de Captura ainda está em uso, feche todos os programas abertos e tente novamente.
CAPTURE_DEVICE_LOAD_ERROR	Capture Device could not be loaded, please check the device and try again.	Dispositivo de captura não pôde ser carregado, por favor, verifique se o dispositivo e tente novamente.
INVALID_HANDLE	Invalid Handle.	Inválido Handle.
INVALID_LENGTH	Invalid Length.	Comprimento inválido.
VIDEO_SYSTEM_NOT_COMPATIBLE_WITH_FORMAT	The selected Frame Rate is not compatible with this Recording Format.	A taxa de quadros selecionado não é compatível com este formato de gravação.
CODEC_NOT_SUPPORTED	Codec Not Supported. Try different Output Format under Settings, Performance.	Codec não suportado. Tente Formato de saída diferentes em Configurações, Performance.
CODEC_NOT_FOUND	A Video Codec has not been configured.	Um codec de vídeo não foi configurado.
DV_DOES_NOT_SUPPORT_HD	DV Video Encoder does not support recording to HD. Select another codec or choose the MPEG-2 or MP4 recording options.	O DV Video Encoder não suporta gravação para HD. Selecione um outro codec ou escolher as MPEG-2 ou de gravação MP4 opções.
WEB_BROWSER_NOT_FOUND	Web Browser Could Not Be Found.	Navegador da Web não pôde ser encontrado.
DVD_FILES_MISSING	DVD Files Missing.	Arquivos de DVD Missing.
RENDERER_NOT_CONNECTED	Video could not be connected. Please make sure an appropriate video codec for this format is installed.	Vídeo não pode ser conectado. Certifique-se de um codec de vídeo apropriada para este formato está instalado.
INVALID_RENDERER	Invalid Renderer.	Inválido Renderer.
DVD_NOT_FOUND	DVD Could Not Be Found.	DVD não pode ser encontrado.
DVD_NAVIGATOR_NOT_FOUND	DVD Navigator Could Not Be Found.	DVD Navigator não pôde ser encontrado.
DESKTOP_CAPTURE_SOURCE_NOT_AVAILABLE	Desktop Capture Source Is No Longer Available.	Fonte de captura de desktop não está mais disponível.
AAC_AUDIO_FORMAT_NOT_SUPPORTED	The selected Audio Sample Rate and Channels are not supported by this Encoder.	A taxa de amostragem de áudio e canais selecionados não são suportados por este Encoder.
PRESET_NOT_FOUND	Preset Not Found.	Pré Not Found.
PRESET_LOAD_ERROR	Error Loading Preset.	Predefinidos Carregando erro.
PLAYLIST_LOAD_ERROR	PlayList Could Not Be Loaded.	PlayList não pôde ser carregado.
PLAYLIST_NOT_FOUND	PlayList could not be found.	PlayList não pôde ser encontrado.
PLAYLIST_RUNNING	PlayList is currently running, please stop PlayList and try again.	PlayList está sendo executado, por favor pare PlayList e tente novamente.
PLAYLIST_INPUT_NOT_FOUND	PlayList Input Not Found.	PlayList de entrada não encontrado.
PLAYLIST_ALREADY_EXISTS	PlayList name already exists.	Nome da lista já existe.
PLAYLIST_EMPTY	PlayList has not been configured.	PlayList não foi configurado.
OUTPUT_POSITION_NOT_NUMERIC	Output Position Values must be Numeric.	Valores de posição de saída deve ser numérico.
OUTPUT_POSITION_WIDTH_HEIGHT_ZERO	Output Position Width and Height must be greater than zero.	Largura de saída posição e altura deve ser maior que zero.
INVALID_MEDIA_TYPE	Invalid Media Type.	Tipo de mídia inválido.
INVALID_RESOLUTION	Invalid Resolution.	Resolução inválido.
SELECT_CAPTURE_DEVICE	Select Capture Device.	Selecione Capturar do dispositivo.
SELECT_AUDIO_DEVICE	Select Audio Device.	Selecionar dispositivo de áudio.
QUICKTIME_INIT_ERROR	Error Initialising QuickTime.	Erro Inicialização QuickTime.
QUICKTIME_NOT_INSTALLED	QuickTime 7.6 or higher is not installed.	QuickTime 7.6 ou superior não está instalado.
QUICKTIME_CONTEXT_ERROR	QuickTime Context Error.	QuickTime Erro de contexto.
QUICKTIME_UNDEFINED_ERROR	Undefined QuickTime Error.	Erro QuickTime indefinido.
FLASH_NOT_INSTALLED	Please install Adobe Flash Player for Internet Explorer to use this feature.	Por favor, instale o Adobe Flash Player para o Internet Explorer para usar esse recurso.
INVALID_PORT	Invalid Port.	Inválido Port.
INVALID_HOSTNAME	Invalid Hostname/IP.	Nome de host / IP inválido.
INVALID_LATENCY	Invalid Latency.	Latência inválida.
INVALID_PASS_PHRASE	Invalid Passphrase, must be between 10 and 79 characters.	Senha inválida, deve ter entre 10 e 79 caracteres.
INVALID_KEYFRAME_FREQUENCY	Invalid Key Frame Frequency, must be at least 1 second.	Frequência de quadro chave inválida, deve ser de pelo menos 1 segundo.
VC_H264_ENCODER_NOT_FOUND	H264 encoder could not be found on this PC.	Não foi possível encontrar o codificador H264 neste PC.
VC_HEVC_ENCODER_NOT_FOUND	HEVC encoder is not installed. This can be installed by searching for HEVC Video Extensions in the Windows 10 Microsoft Store.	O codificador HEVC não está instalado. Para instalá-lo, procure por extensões de vídeo HEVC na Windows 10 Microsoft Store.
VC_AV1_ENCODER_NOT_FOUND	AV1 encoder is not installed. This encoder requires a NVIDIA 4000 series graphics card or higher.	O codificador AV1 não está instalado. Este codificador requer uma placa gráfica da série NVIDIA 4000 ou superior.
FILE_FORMAT_NOT_RECOGNISED	File Format Not Recognised.	Formato do arquivo não reconhecidas.
FILE_FORMAT_NEEDS_SOURCE_FILTER	Windows needs an additional component installed to play this file format.	Windows precisa de um componente adicional instalado para jogar este formato de arquivo.
FILE_FORMAT_NEEDS_HAALI_FILTER	Please install the Haali Media Splitter to play this file format.	Por favor instalar o Haali Media Splitter para jogar este formato de arquivo.
EMPTY_DIRECTORY	Directory Is Empty.	Diretório está vazio.
RECORDING_UNEXPECTED_ERROR	Recording has stopped unexpectedly.	A gravação foi interrompida inesperadamente.
RECORDING_START_TIMED_OUT	Recording timed out waiting for first frame.	Gravação expirou esperando primeiro quadro.
DVPIN_NOT_FOUND	DV Pin could not be found.	DV Pin não pôde ser encontrado.
DVSPLITTERPIN_NOT_FOUND	DV Splitter Pin could not be found.	DV Splitter Pin não pôde ser encontrado.
HDVPIN_NOT_FOUND	HDV Pin could not be found.	HDV Pin não pôde ser encontrado.
DVSPLITTER_NOT_FOUND	DV Splitter could not be found.	DV Splitter não pôde ser encontrado.
MPEG2DEMULTIPLEXER_NOT_FOUND	MPEG-2 Demultiplexer could not be found.	MPEG-2 Demultiplexer não pôde ser encontrado.
POWERPOINT_OPEN_ERROR	Could not open PowerPoint presentation, make sure presentation is in correct format and PowerPoint is installed.	Não foi possível abrir apresentação do PowerPoint, certifique-se de apresentação está no formato correto e PowerPoint está instalado.
VIDEO_DELAY_MEMORY_LIMIT	A maximum of 1GB of Buffer Memory (32GB under x64) is supported in this version of vMix.	Um máximo de 1GB de memória buffer (32GB em x64) é suportado nesta versão do Vmix.
VIDEO_DELAY_NOT_ENOUGH_MEMORY	Not enough free memory to support this Buffer size.	Não memória livre suficiente para suportar este tamanho de buffer.
VIDEO_DELAY_IN_USE	Only one Video Delay per Source may be used at a time.	Apenas um Atraso do vídeo por Fonte pode ser utilizado de cada vez.
VIDEO_DELAY_SOURCE_NOT_FOUND	Video Delay Source Input could not be found.	Vídeo Retardo Fonte de entrada não pôde ser encontrado.
MPEG2_ENCODER_NOT_FOUND	Windows 7 or higher required for MPEG-2 support.	Windows 7 ou superior necessário para MPEG-2 apoio.
MPEG2_BITRATE_NOT_COMPATIBLE_WITH_SIZE	The selected MPEG2 BitRate is not compatible with this resolution.	O BitRate MPEG2 selecionado não é compatível com esta resolução.
MPEG2_ENCODER_NOT_AVAILABLE	The MPEG-2 Encoder requires Windows Media Center to be installed on this version of Windows.	O codificador MPEG-2 requer o Windows Media Center para ser instalado nesta versão do Windows.
SHORTCUT_ALREADY_EXISTS	Shortcut Already Exists.	Atalho já existe.
SHORTCUT_INVALID_FORMAT	Shortcut is in Invalid Format.	Atalho é em formato inválido.
SHORTCUT_SELECT_FUNCTION	Please select a Function.	Por favor selecione uma função.
WEB_COULD_NOT_START	Web Controller could not start. The port may already be in use.	Controlador da Web não pôde ser iniciado. A porta já pode estar em uso.
WEB_NOT_STARTED	The Web Controller has not been enabled. Please enable in settings and restart vMix.	O controlador da Web não foi ativado. Ative em configurações e reiniciar vMix.
STOP_RECORDING	Stop Recording, External Output, MultiCorder and Streaming before Opening a Preset.	Pare de Gravar, Saída Externa, MultiCorder e Streaming antes de Abrir um Preset.
NOT_SUPPORTED_UNDER_X64	This feature does not support 64bit.	Este recurso não suporta 64 bits.
COULD_NOT_IMPORT_SETTINGS	Could not import settings. Check the file format is correct.	Não foi possível importar as configurações. Verifique o formato do arquivo está correta.
COULD_NOT_EXPORT_SETTINGS	Could not export settings.	Não foi possível exportar as configurações.
WASAPI_RECORDER_NOT_SUPPORTED	Audio Engine requires Windows 7 or higher.	Audio Engine requer o Windows 7 ou superior.
WASAPI_RECORDER_COULD_NOT_START	Audio Engine could not start. Please ensure a sound device has been installed.	Audio Engine não pôde ser iniciado. Certifique-se de um dispositivo de som foi instalado.
WASAPI_REQUIRED	A connected Sound Card is required in this PC to use this Input.	A placa de som ligado é necessário neste PC para usar esta entrada.
TALLY_COM_PORT_NOT_AVAILABLE	Tally Lights could not be loaded. COM Port is unavailable.	Luzes Tally não pôde ser carregado. COM Port está disponível.
TALLY_PREVIEW_NOT_NUMBER	Preview Pin is not a number.	Pin visualização não é um número.
TALLY_ACTIVE_NOT_NUMBER	Active Pin is not a number.	Pin ativo não é um número.
UI_THREAD	Invalid UI Thread.	Inválido segmento.
INPUT_KEY_IN_USE	Input Key is already in use.	Chave de entrada já está em uso.
TIMED_OUT	Timed Out waiting for a response.	Esgotado o tempo limite de espera por uma resposta.
INVALID_PARAMETERS	Invalid Parameters.	Parâmetros inválidos.
CAPTURE_INTERLACED_SOURCE_REQUIRED	Interlaced Frame Rate required for this Deinterlacing method.	Frame Rate entrelaçado necessário para este método de desentrelaçamento.
CAPTURE_VIRTUALGENLOCK_REQUIRED	Virtual GenLock is required for this Deinterlacing method.	Virtual GenLock é necessário para este método de desentrelaçamento.
CAPTURE_VMR_NOT_SUPPORTED	VMR not supported with this Deinterlacing method.	VMR não é suportado com este método de desentrelaçamento.
CAPTURE_DOUBLE_FRAME_RATE_REQUIRED	Bob Deinterlace requires a System Frame Rate that is double the Interlaced Capture Frame Rate.	Bob Deinterlace exige uma taxa de quadros do sistema que é o dobro da taxa de quadros entrelaçado captura.
CORRUPT	This program has been modified and will now exit.	Este programa foi modificado e agora vai sair.
CORRUPT_CONFIGURATION	vMix has repaired a corrupt configuration file. Please restart vMix to complete the repair.	Vmix consertou um arquivo de configuração corrompido. Por favor, reinicie Vmix para concluir o reparo.
AUDIO_DEVICE_IN_USE_INPUT	The selected Audio Device is already in use by an Input. Select a vMix Audio device instead.	O dispositivo de áudio selecionado já está em uso por uma entrada. Selecione um dispositivo de áudio Vmix vez.
AUDIO_DELAY_NOT_SUPPORTED	Audio Delay supports a value between -2000 and 2000 milliseconds.	Atraso de áudio suporta um valor entre -2000 e 2000 milissegundos.
INVALID_IMAGE_FORMAT	Invalid Image Format.	Formato da imagem inválido.
VIDEO_DELAY_SOURCE_NOT_READY	Video Source Not Ready.	Fonte de vídeo não está pronta.
NAME_CANNOT_BE_EMPTY	Name cannot be empty.	Nome não pode ser vazio.
RECORDING_NOT_ENOUGH_DISK_SPACE	There is not enough disk space to continue this recording.	Não há espaço em disco suficiente para continuar esta gravação.
RECORDING_DIRECTORY_NOT_FOUND	Recording directory could not be found. Please check that it exists and try again.	directório de gravação não pôde ser encontrado. Por favor, verifique se ele existe e tente novamente.
RECORDING_INVALID_FILENAME	Recording filename is invalid. Please check the filename and try again.	Gravação de nome de arquivo é inválido. Por favor, verifique o nome do arquivo e tente novamente.
RECORDING_VERTICAL_NOT_SUPPORTED	This recording format does not support Vertical or Square video.	Este formato de gravação não suporta vídeo Vertical ou Quadrado.
LIST_REQUIRES_ONE_ITEM	List requires at least one item.	List, requer, pelo menos, um item.
MP4_SIZE_LIMIT	MP4 Recording has a maximum file size of 3.7GB under Windows 7	Gravação MP4 tem um tamanho máximo de arquivo de 3.7GB no Windows 7
EXTERNAL_RENDERER_IN_USE_OR_NOT_COMPATIBLE	The selected External Renderer Device is in use or does not support the selected format. Please check your External Output settings and try again.	O dispositivo Renderer externo selecionado está em uso ou não suporta o formato selecionado. Por favor, verifique as configurações de saída externa e tente novamente.
SELECT_ITEM	Select an item in the list first.	Selecione um item na lista pela primeira vez.
UYVY_REQUIRED	Output Format must be set to UYVY for this Device.	Formato de Saída deve ser definido como UYVY para este dispositivo.
OUTPUT_FRAMERATE_MISMATCH	External Output Frame Rate must match vMix Frame Rate.	External Frame Rate saída deve corresponder vMix Frame Rate.
STREAMING_AUDIO_BITRATE_NOT_SUPPORTED	The selected Audio Master Bit Rate is not support (32bit), please change this to 16 bit PCM in vMix Settings under the Audio tab.	O selecionado Áudio Mestre Bit Rate não é apoiar (32bit), por favor, alterá-lo para 16 bits PCM em Configurações vmix sob a guia Áudio.
FFMPEG_RECORDING_FAILED	FFMPEG Recording failed. Check the log file for more information.	FFMPEG gravação falhou. Verifique o arquivo de log para obter mais informações.
REPLAY_ALREADY_IN_USE	Instant Replay is already in use. Only one session can be open at a time.	Instant Replay já está em uso. Apenas uma sessão pode ser aberta ao mesmo tempo.
REPLAY_ERROR_SOURCE_CONFIGURATION	One or more Cameras could not be configured for Instant Replay.	Uma ou mais câmeras não poderia ser configurada para Instant Replay.
REPLAY_MARK_VALUE_INVALID	Mark value must be in seconds between 1 and 30 seconds long.	Mark valor deve ser em segundos entre 1 e 30 segundos de duração.
REPLAY_EVENT_NOT_FOUND	Instant Replay Event could not be found.	Replay instantâneo do evento não pôde ser encontrado.
REPLAY_SHORTCUT_VALUE_NOT_NEGATIVE	Replay Shortcut Value cannot be negative.	Valor de replay atalho não pode ser negativo.
REPLAY_ONE_CHANNEL	This version of Instant Replay supports one camera only. Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	Esta versão do Instant Replay suporta apenas uma câmera. Atualize vMix para permitir mais recursos. http://www.vmix.com/upgrade
REPLAY_SOURCE_ALREADY_IN_USE	Source is already in use.	Fonte já está em uso.
REPLAY_MULTICORDER_ERROR	Instant Replay and MultiCorder cannot be used at the same time.	Repetição instantânea e MultiCorder não podem ser usados ​​ao mesmo tempo.
REPLAY_64BIT_REQUIRED	Instant Replay requires the 64bit version of vMix.	Instant Replay requer a versão 64 bits do vMix.
FEATURE_64BIT_REQUIRED	This feature requires the 64bit (x64) version of vMix.	Esta característica requer a versão de 64 bits (x64) do vMix.
VIDEOCALL_NOT_SUPPORTED	vMix Call is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	vMix chamada não está disponível nesta edição do vMix. Atualizar vMix para permitir mais recursos. http://www.vmix.com/upgrade
VIDEOCALL_SERVER_CONNECT_ERROR	Could not connect to vMix Call server, check your internet connection and try again.	Não foi possível conectar ao servidor de chamadas vMix, verifique a sua ligação à Internet e tente novamente.
VIDEOCALL_MAXIMUM_CALLS_REACHED	The maximum number of vMix Calls for this Edition has been reached. {newline}Upgrade vMix to enable additional calls.{newline}http://www.vmix.com/upgrade	O número máximo de vMix chamadas para esta edição foi atingido. Atualizar vMix para permitir chamadas adicionais. http://www.vmix.com/upgrade
VIDEOCALL_48_SAMPLE_RATE_REQUIRED	vMix Call requires the Audio Master Sample Rate to be 48000, this can be changed in the Audio tab under Settings	vMix chamada requer a Áudio Mestre Taxa de amostragem a ser 48000, isso pode ser alterado no separador Áudio em Configurações
VIDEOCALL_PASSWORD_NOT_FOUND	vMix Call Password is incorrect.	vMix Chamada senha está incorreta.
VIDEOCALL_INVALID_PASSWORD	Password must be at least 8 characters in length.	A senha deve ter pelo menos 8 caracteres de comprimento.
VIDEOCALL_INVALID_NAME	Please enter a Name to identify yourself on this call.	Por favor, indique um nome para identificar-se sobre esta chamada.
PRODUCTION_CLOCK_ALREADY_ADDED	Production Clocks Input has already been created. Only one can be active at a time.	Entrada de relógios de produção já foi criada. Apenas um pode estar ativo por vez.
